reviews_per_month,(All),,,,
room_type,(All),,,,
,,,,,
neighbourhood_group,neighbourhood,Count of name,Average of price,Sum of number_of_reviews,Max of last_review
,Kips Bay,470,$202.41,5837,06-12-2019
,Little Italy,121,$222.07,2799,06-10-2019
,Lower East Side,911,$186.31,24161,06-12-2019
,Marble Hill,12,$89.17,168,10-06-2018
,Midtown,1545,$282.72,19444,06-12-2019
,Morningside Heights,346,$114.78,4599,06-11-2019
,Murray Hill,485,$220.96,4535,06-12-2019
,NoHo,78,$295.72,994,04-12-2019
,Nolita,252,$230.14,5634,06-12-2019
,Roosevelt Island,77,$113.26,1214,05-08-2019
,SoHo,358,$287.10,7235,06-12-2019
,Stuyvesant Town,37,$169.11,302,03-06-2019
,Theater District,288,$248.01,4342,06-12-2019
,Tribeca,177,$490.64,2034,06-11-2019
,Two Bridges,72,$127.07,2129,06-10-2019
,Upper East Side,1798,$188.95,31686,06-12-2019
,Upper West Side,1970,$210.92,36058,06-12-2019
,Washington Heights,898,$89.61,17161,06-12-2019
,West Village,768,$267.68,14885,06-12-2019
Queens,,5666,$99.52,156950,06-12-2019
,Arverne,77,$171.78,2253,04-12-2019
,Astoria,900,$117.19,19310,06-12-2019
,Bay Terrace,6,$142.00,249,05-04-2018
,Bayside,39,$157.95,928,06-10-2019
,Bayswater,17,$87.47,191,06-12-2019
,Belle Harbor,8,$171.50,74,00-01-1900
,Bellerose,14,$99.36,118,07-05-2019
,Breezy Point,3,$213.33,5,00-01-1900
,Briarwood,56,$105.88,1247,06-12-2019
,Cambria Heights,26,$81.73,485,07-07-2019
,College Point,19,$88.00,439,06-11-2019
,Corona,64,$59.17,1806,06-12-2019
,Ditmars Steinway,309,$95.03,7852,06-11-2019
,Douglaston,8,$82.75,167,06-06-2019
,East Elmhurst,185,$81.18,15107,06-11-2019
,Edgemere,11,$94.73,113,06-10-2019
,Elmhurst,237,$80.46,5554,06-11-2019
,Far Rockaway,29,$165.86,374,05-10-2019
,Flushing,426,$93.51,14818,06-12-2019
,Forest Hills,144,$121.63,3210,04-12-2019
,Fresh Meadows,32,$99.50,1045,06-09-2019
,Glendale,54,$90.80,1459,04-10-2019
,Hollis,14,$88.64,164,06-12-2019
,Holliswood,4,$135.75,15,06-02-2019
,Howard Beach,20,$115.40,272,07-06-2019
,Jackson Heights,186,$80.90,5061,06-12-2019
,Jamaica,231,$95.77,9910,06-12-2019
,Jamaica Estates,19,$182.95,596,06-09-2019
,Jamaica Hills,8,$132.13,69,07-08-2019
,Kew Gardens,32,$88.38,332,06-12-2019
,Kew Gardens Hills,26,$112.31,331,07-07-2019
,Laurelton,18,$95.33,528,07-08-2019
,Little Neck,5,$75.20,19,12-04-2018
,Long Island City,537,$127.47,12256,06-12-2019
,Maspeth,110,$83.65,2490,06-11-2019
,Middle Village,31,$109.58,1055,06-09-2019
,Neponsit,3,$274.67,46,06-09-2019
,Ozone Park,62,$85.27,1512,02-11-2019
,Queens Village,60,$83.93,2147,05-12-2019
,Rego Park,106,$83.88,2754,06-12-2019
,Richmond Hill,94,$87.12,3230,06-10-2019
,Ridgewood,423,$77.18,7778,06-12-2019
,Rockaway Beach,56,$132.18,1358,06-11-2019
,Rosedale,59,$76.69,1673,03-11-2019
,South Ozone Park,40,$82.40,1947,06-09-2019
,Springfield Gardens,85,$94.24,5873,06-12-2019
,St. Albans,76,$100.83,2584,05-11-2019
,Sunnyside,363,$84.87,8070,06-12-2019
,Whitestone,11,$107.55,249,07-07-2019
,Woodhaven,88,$67.17,2792,06-11-2019
,Woodside,235,$85.10,5035,05-12-2019
Staten Island,,373,$114.81,11541,05-12-2019
,Arden Heights,4,$67.25,31,01-08-2019
